Altium Designer Pick and Place Locations
C:\Users\Tjitte\Documents\TPEE\Projects\TDSR2021 MPPT\Hardware\ReboostV2-Hardware\Project Outputs for Reboostv2\Pick Place for ReboostV2.1.csv

========================================================================================================================
File Design Information:

Date:       18-03-21
Time:       12:08
Revision:   df147cdeca945736ca202da6da478abcb7340301
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R41","0R","BottomLayer","0603","53.5000","64.5000","90","Resistor, 0R, 0.1%, 0.063W, 50V, 200PPM, 0603"
"R39","0R","BottomLayer","0603","55.0000","64.5000","90","Resistor, 0R, 0.1%, 0.063W, 50V, 200PPM, 0603"
"F1","Fuse Holder","TopLayer","Fuse5x20TH","69.2500","64.7500","360","Fuse, Holder, 10A, 250V, T:-40°C +85°C"
"J1","Header 1x4","TopLayer","PC_4/_4-G-7,62","84.5700","35.0000","90","Header, Close Horizontal, 1x4, Male, 7.62mm, TH"
"D8","SMAJ58A","BottomLayer","SMA","25.1000","70.9000","360","Diode TVS, Vrwm: 58V, Vbr: 71.2V, Vc: 93.6V, Ippm: 4.3A"
"C19","2.2uF","BottomLayer","C0603","15.6000","29.3000","360","Capacitor, 2.2uF, 16V, X5R"
"C59","100nF","BottomLayer","C0603","44.5000","19.7000","360","Capacitor, 100nF, 50V, X7R"
"R32","10K","BottomLayer","0603","38.2000","44.2000","90","Resistor, 10K, 1%, 0.063W, 50V, 100PPM, 0603"
"R25","750K","BottomLayer","0603","42.1000","53.1000","90","Resistor, 750K, 1%, 0.063W, 50V, 100PPM, 0603"
"R34","750K","BottomLayer","0603","36.6000","44.2000","90","Resistor, 750K, 1%, 0.063W, 50V, 100PPM, 0603"
"R26","470K","BottomLayer","0603","44.0000","53.1000","90","Resistor, 470K, 1%, 0.063W, 50V, 100PPM, 0603"
"R35","47k","BottomLayer","0603","20.2000","45.1000","180","Resistor, 47K, 0.1%, 0.063W, 50V, 100PPM, 0603"
"MP6","M2.5x2mm","BottomLayer","9774020151","34.6253","76.8601","180","WA-SMSI SMT Steel Spacer, M2.5 Thread Internal, OD 5.1mm, M2.5x2mm"
